County,First Dose,Series Complete,Report as of
Queens,1359388,1183614,6/11/21
Richmond,237086,210394,6/11/21
Bronx,634893,544736,6/12/21
Kings,1215977,1065639,6/12/21
New York,1061398,958248,6/12/21
Queens,1362624,1189448,6/12/21
Richmond,237510,211175,6/12/21
Bronx,635779,546272,6/13/21
Kings,1218018,1069280,6/13/21
New York,1062859,960638,6/13/21
Queens,1364696,1194101,6/13/21
Richmond,237776,211684,6/13/21
Bronx,638808,551097,6/14/21
Kings,1222080,1075804,6/14/21
New York,1066068,965580,6/14/21
Queens,1369468,1202742,6/14/21
Richmond,238565,213397,6/14/21
Bronx,641913,555401,6/15/21
Kings,1225895,1082622,6/15/21
New York,1069070,969829,6/15/21
Queens,1373754,1210762,6/15/21
Richmond,239191,214513,6/15/21
Bronx,644972,559378,6/16/21
Kings,1229525,1088781,6/16/21
New York,1072071,973799,6/16/21
Queens,1378179,1217980,6/16/21
Richmond,239760,215577,6/16/21
Bronx,647738,563714,6/17/21
Kings,1233367,1095923,6/17/21
New York,1075368,978012,6/17/21
Queens,1383020,1225604,6/17/21
Richmond,240565,216819,6/17/21
Bronx,650132,566888,6/18/21
Kings,1236148,1100313,6/18/21
New York,1077940,981198,6/18/21
Queens,1386625,1231168,6/18/21
Richmond,241056,217714,6/18/21
Bronx,652136,569939,6/19/21
Kings,1239868,1106170,6/19/21
New York,1080581,984440,6/19/21
Queens,1391597,1238769,6/19/21
